num_vars,seed,true_edges,edge_density,max_eigenvalue_real,DirectSF2M_AUROC,DirectSF2M_AUPRC,DirectSF2M_training_time,DirectSF2M_num_true_edges,hparam_n_steps,hparam_batch_size,hparam_reg,hparam_alpha,hparam_lr,hparam_knockout_hidden,config_id,experiment_id,total_experiments
10,283,27,0.27,0.9467484666911842,0.7425164890918315,0.5401771471484256,29.708815813064575,27,5000,64,1e-06,0.1,0.003,256,147,443,648
10,165,27,0.27,0.9963180699495502,0.7688990360223237,0.6935954439878942,28.405721187591553,27,5000,64,1e-06,0.1,0.003,256,147,444,648
10,962,25,0.25,0.7146712559397453,0.7517333333333334,0.5695696642409469,22.975523233413696,25,5000,64,1e-06,0.1,0.005,128,148,445,648
10,283,27,0.27,0.9467484666911842,0.8272450532724506,0.6446757490020991,22.498760223388672,27,5000,64,1e-06,0.1,0.005,128,148,446,648
10,165,27,0.27,0.9963180699495502,0.778285134449518,0.6206561105005841,21.279528856277466,27,5000,64,1e-06,0.1,0.005,128,148,447,648
10,962,25,0.25,0.7146712559397453,0.8130666666666666,0.5231204240417646,29.736050367355347,25,5000,64,1e-06,0.1,0.005,256,149,448,648
10,283,27,0.27,0.9467484666911842,0.7993404363267377,0.5575058776360912,29.77100896835327,27,5000,64,1e-06,0.1,0.005,256,149,449,648
10,165,27,0.27,0.9963180699495502,0.754185692541857,0.6172746977936472,30.605523824691772,27,5000,64,1e-06,0.1,0.005,256,149,450,648
10,962,25,0.25,0.7146712559397453,0.6861333333333333,0.4437562827986448,21.137669324874878,25,5000,64,1e-06,0.3,0.001,128,150,451,648
10,283,27,0.27,0.9467484666911842,0.7323693556570269,0.498243191683187,22.76757311820984,27,5000,64,1e-06,0.3,0.001,128,150,452,648
10,165,27,0.27,0.9963180699495502,0.6925418569254186,0.5682980566554698,22.488872051239014,27,5000,64,1e-06,0.3,0.001,128,150,453,648
10,962,25,0.25,0.7146712559397453,0.7010666666666667,0.47231523731523734,29.353228092193604,25,5000,64,1e-06,0.3,0.001,256,151,454,648
10,283,27,0.27,0.9467484666911842,0.5885337392186707,0.4288977072310406,29.595646142959595,27,5000,64,1e-06,0.3,0.001,256,151,455,648
10,165,27,0.27,0.9963180699495502,0.6983764586504313,0.5761205668321416,28.31495499610901,27,5000,64,1e-06,0.3,0.001,256,151,456,648
10,962,25,0.25,0.7146712559397453,0.7442666666666666,0.5196786584399095,22.327447175979614,25,5000,64,1e-06,0.3,0.003,128,152,457,648
10,283,27,0.27,0.9467484666911842,0.7757483510908169,0.4833189707127761,21.79286289215088,27,5000,64,1e-06,0.3,0.003,128,152,458,648
10,165,27,0.27,0.9963180699495502,0.7067478437341451,0.582428356099673,22.416544914245605,27,5000,64,1e-06,0.3,0.003,128,152,459,648
10,962,25,0.25,0.7146712559397453,0.8010666666666667,0.5394617309681826,28.901740074157715,25,5000,64,1e-06,0.3,0.003,256,153,460,648
10,283,27,0.27,0.9467484666911842,0.7889396245560629,0.5364827500320817,29.14782691001892,27,5000,64,1e-06,0.3,0.003,256,153,461,648
10,165,27,0.27,0.9963180699495502,0.7196854388635211,0.6108166496183134,29.731871128082275,27,5000,64,1e-06,0.3,0.003,256,153,462,648
10,962,25,0.25,0.7146712559397453,0.7821333333333333,0.6152365610068128,21.954482793807983,25,5000,64,1e-06,0.3,0.005,128,154,463,648
10,283,27,0.27,0.9467484666911842,0.7848807711821411,0.5714865037104959,21.874430894851685,27,5000,64,1e-06,0.3,0.005,128,154,464,648
10,165,27,0.27,0.9963180699495502,0.7278031456113649,0.5715144171581754,21.679589986801147,27,5000,64,1e-06,0.3,0.005,128,154,465,648
10,962,25,0.25,0.7146712559397453,0.8325333333333333,0.5931404896183669,29.08258581161499,25,5000,64,1e-06,0.3,0.005,256,155,466,648
10,283,27,0.27,0.9467484666911842,0.8127853881278538,0.5236100025983815,31.063671112060547,27,5000,64,1e-06,0.3,0.005,256,155,467,648
10,165,27,0.27,0.9963180699495502,0.7866565195332319,0.6305613586154932,31.19633388519287,27,5000,64,1e-06,0.3,0.005,256,155,468,648
10,962,25,0.25,0.7146712559397453,0.4645333333333333,0.25,21.471590995788574,25,5000,64,1e-05,0.1,0.001,128,156,469,648
10,283,27,0.27,0.9467484666911842,0.6040081177067479,0.4012008978675645,23.414033889770508,27,5000,64,1e-05,0.1,0.001,128,156,470,648
10,165,27,0.27,0.9963180699495502,0.4634703196347032,0.27576910243576913,21.295419216156006,27,5000,64,1e-05,0.1,0.001,128,156,471,648
10,962,25,0.25,0.7146712559397453,0.5504,0.2736559139784946,29.519129037857056,25,5000,64,1e-05,0.1,0.001,256,157,472,648
10,283,27,0.27,0.9467484666911842,0.48046676813800093,0.32240120503278397,29.640112161636353,27,5000,64,1e-05,0.1,0.001,256,157,473,648
10,165,27,0.27,0.9963180699495502,0.4728564180618975,0.26295173961840634,29.56607985496521,27,5000,64,1e-05,0.1,0.001,256,157,474,648
10,962,25,0.25,0.7146712559397453,0.6352,0.4311800837575187,22.841519832611084,25,5000,64,1e-05,0.1,0.003,128,158,475,648
10,283,27,0.27,0.9467484666911842,0.7729578893962455,0.5866310341299271,22.822643995285034,27,5000,64,1e-05,0.1,0.003,128,158,476,648
10,165,27,0.27,0.9963180699495502,0.5999492643328259,0.45004807429171556,21.222972869873047,27,5000,64,1e-05,0.1,0.003,128,158,477,648
10,962,25,0.25,0.7146712559397453,0.8064,0.599340957975633,29.399452924728394,25,5000,64,1e-05,0.1,0.003,256,159,478,648
10,283,27,0.27,0.9467484666911842,0.7803145611364789,0.5848768678118366,29.105398178100586,27,5000,64,1e-05,0.1,0.003,256,159,479,648
10,165,27,0.27,0.9963180699495502,0.5958904109589042,0.4690102175510959,30.18081307411194,27,5000,64,1e-05,0.1,0.003,256,159,480,648
10,962,25,0.25,0.7146712559397453,0.8248,0.6227549970966635,21.828036069869995,25,5000,64,1e-05,0.1,0.005,128,160,481,648
10,283,27,0.27,0.9467484666911842,0.8683409436834094,0.7109455952348057,21.531620025634766,27,5000,64,1e-05,0.1,0.005,128,160,482,648
10,165,27,0.27,0.9963180699495502,0.771689497716895,0.647691758697805,23.158446073532104,27,5000,64,1e-05,0.1,0.005,128,160,483,648
10,962,25,0.25,0.7146712559397453,0.8344,0.6206347626145386,28.772512912750244,25,5000,64,1e-05,0.1,0.005,256,161,484,648
10,283,27,0.27,0.9467484666911842,0.8604769152714358,0.7173995458023101,29.863337993621826,27,5000,64,1e-05,0.1,0.005,256,161,485,648
10,165,27,0.27,0.9963180699495502,0.6671740233384069,0.567178476328803,28.30825185775757,27,5000,64,1e-05,0.1,0.005,256,161,486,648
10,962,25,0.25,0.7146712559397453,0.39946666666666675,0.24833333333333332,22.51143193244934,25,5000,64,1e-05,0.3,0.001,128,162,487,648
10,283,27,0.27,0.9467484666911842,0.5862506341958397,0.3754823820781268,22.786091089248657,27,5000,64,1e-05,0.3,0.001,128,162,488,648
10,165,27,0.27,0.9963180699495502,0.44419076610857444,0.2496460499908776,23.828874111175537,27,5000,64,1e-05,0.3,0.001,128,162,489,648
10,962,25,0.25,0.7146712559397453,0.4709333333333333,0.2435800126502214,29.677443027496338,25,5000,64,1e-05,0.3,0.001,256,163,490,648
10,283,27,0.27,0.9467484666911842,0.5182648401826484,0.32289851924260526,31.47432017326355,27,5000,64,1e-05,0.3,0.001,256,163,491,648
10,165,27,0.27,0.9963180699495502,0.4670218163368849,0.2593827160493828,29.097088098526,27,5000,64,1e-05,0.3,0.001,256,163,492,648
10,962,25,0.25,0.7146712559397453,0.6722666666666667,0.44532716046923426,22.950622081756592,25,5000,64,1e-05,0.3,0.003,128,164,493,648
10,283,27,0.27,0.9467484666911842,0.756468797564688,0.5853875348480262,21.712255001068115,27,5000,64,1e-05,0.3,0.003,128,164,494,648
10,165,27,0.27,0.9963180699495502,0.5839675291730086,0.44032420564827973,21.747370958328247,27,5000,64,1e-05,0.3,0.003,128,164,495,648
10,962,25,0.25,0.7146712559397453,0.8090666666666667,0.5798815206796953,30.85625410079956,25,5000,64,1e-05,0.3,0.003,256,165,496,648
